fecha,price_close
Aug 26 2019,2878.38
Aug 23 2019,2847.11
Aug 22 2019,2922.95
Aug 21 2019,2924.43
Aug 20 2019,2900.51
Aug 19 2019,2923.65
Aug 16 2019,2888.68
Aug 15 2019,2847.60
Aug 14 2019,2840.60
Aug 13 2019,2926.32
Aug 12 2019,2882.70
Aug 09 2019,2918.65
Aug 08 2019,2938.09
Aug 07 2019,2883.98
Aug 06 2019,2881.77
Aug 05 2019,2844.74
Aug 02 2019,2932.05
Aug 01 2019,2953.56
Jul 31 2019,2980.38
Jul 30 2019,3013.18
Jul 29 2019,3020.97
Jul 26 2019,3025.86
Jul 25 2019,3003.67
Jul 24 2019,3019.56
Jul 23 2019,3005.47
Jul 22 2019,2985.03
Jul 19 2019,2976.61
Jul 18 2019,2995.11
Jul 17 2019,2984.42
Jul 16 2019,3004.04
Jul 15 2019,3014.30
Jul 12 2019,3013.77
Jul 11 2019,2999.91
Jul 10 2019,2993.07
Jul 09 2019,2979.63
Jul 08 2019,2975.95
Jul 05 2019,2990.41
Jul 03 2019,2995.82
Jul 02 2019,2973.01
Jul 01 2019,2964.33
Jun 28 2019,2941.76
Jun 27 2019,2924.92
Jun 26 2019,2913.78
Jun 25 2019,2917.38
Jun 24 2019,2945.35
Jun 21 2019,2950.46
Jun 20 2019,2954.18
Jun 19 2019,2926.46
Jun 18 2019,2917.75
Jun 17 2019,2889.67
Jun 14 2019,2886.98
Jun 13 2019,2891.64
Jun 12 2019,2879.84
Jun 11 2019,2885.72
Jun 10 2019,2886.73
Jun 07 2019,2873.34
Jun 06 2019,2843.49
Jun 05 2019,2826.15
Jun 04 2019,2803.27
Jun 03 2019,2744.45
May 31 2019,2752.06
May 30 2019,2788.86
May 29 2019,2783.02
May 28 2019,2802.39
May 24 2019,2826.06
May 23 2019,2822.24
May 22 2019,2856.27
May 21 2019,2864.36
May 20 2019,2840.23
May 17 2019,2859.53
May 16 2019,2876.32
May 15 2019,2850.96
May 14 2019,2834.41
May 13 2019,2811.87
May 10 2019,2881.40
May 09 2019,2870.72
May 08 2019,2879.42
May 07 2019,2884.05
May 06 2019,2932.47
May 03 2019,2945.64
May 02 2019,2917.52
May 01 2019,2923.73
